Name,Matches,Inns,Not Out,Runs,HS,Ave,SRate,100,50,Ct,St
JM Bairstow (Yor),4,4,0,295,112  ,73.75,175.59,1,2,2,
CG Benjamin (Wk),2,2,1,71,60*,71,165.11,0,1,2,
HC Brook (Yor),13,13,6,486,91*,69.42,149.07,0,2,9,
DP Conway (Sm),8,8,3,309,81*,61.8,125.6,0,4,5,
TB Abell (Sm),6,6,1,295,78*,59,161.2,0,4,4,
Rashid Khan (Sx),3,3,2,57,27*,57,247.82,0,0,2,
LS Livingstone (La),6,6,1,279,94*,55.8,147.61,0,2,2,
M Labuschagne (Gm),8,8,1,390,93*,55.71,140.79,0,4,5,
GD Phillips (Gs),12,12,3,500,94*,55.55,163.39,0,3,7,1
RP Jones (La),9,7,4,161,61*,53.66,127.77,0,1,2,
JM Cox (Kent),14,12,5,367,64  ,52.42,142.24,0,3,13,2
RI Keogh (Nr),12,12,5,347,56  ,49.57,125.72,0,3,3,
JP Inglis (Le),14,14,3,531,118*,48.27,175.82,2,1,6,2
TA Wood (Dy),4,4,1,142,63*,47.33,125.66,0,1,3,
SM Curran (Sy),4,4,2,94,72*,47,159.32,0,1,1,
TH David (Sy),2,2,1,45,25*,45,136.36,0,0,0,
SS Eskinazi (Mx),11,11,2,399,102*,44.33,140.49,1,3,6,
CJ Jordan (Sx),8,3,2,44,24*,44,157.14,0,0,5,
AD Hales (Nt),15,15,4,482,101*,43.81,178.51,1,2,7,
KK Jennings (La),8,8,1,298,88  ,42.57,126.8,0,2,4,
L Trevaskis (Dur),10,6,4,85,30*,42.5,177.08,0,0,4,
DW Lawrence (Es),8,8,2,252,60  ,42,145.66,0,3,4,
T Kohler-Cadmore (Yor),6,5,1,168,55  ,42,126.31,0,2,3,
OJD Pope (Sy),5,5,1,168,60  ,42,141.17,0,2,2,
LJ Wright (Sx),11,10,1,370,77  ,41.11,151.63,0,4,5,
IA Cockbain (Gs),8,8,2,244,72  ,40.66,135.55,0,2,1,
SR Hain (Wk),14,13,3,398,83*,39.8,139.16,0,4,11,
JL du Plooy (Dy),12,12,2,395,92  ,39.5,131.22,0,3,8,
MJ Potts (Dur),13,5,3,79,40*,39.5,154.9,0,0,4,
HZ Finch (Kent),2,2,0,77,47  ,38.5,116.66,0,0,2,
DJ Bell-Drummond (Kent),14,14,1,492,88  ,37.84,155.69,0,6,6,
RF Higgins (Gs),9,7,4,113,43  ,37.66,143.03,0,0,2,
