Name,Matches,Inns,Not Out,Runs,HS,Ave,SRate,100,50,Ct,St
JM Bairstow (Welsh),2,2,0,128,72  ,64,170.66,0,2,1,
Z Crawley (Lond),2,1,0,64,64  ,64,160,0,1,0,
LS Livingstone (Birm),9,9,3,348,92*,58,178.46,0,3,2,
HC Brook (North),5,5,1,189,62  ,47.25,153.65,0,1,3,
LJ Evans (Oval),8,7,4,123,67*,41,151.85,0,1,5,
JA Simpson (North),7,6,2,152,71*,38,165.21,0,1,6,2
CG Benjamin (Birm),9,7,4,112,37*,37.33,136.58,0,0,3,
JJ Roy (Oval),8,7,2,186,56*,37.2,148.8,0,2,4,
GD Phillips (Welsh),8,8,2,214,80  ,35.66,146.57,0,2,5,
Q de Kock (South),9,8,2,202,72*,33.66,172.64,0,2,11,1
RA Whiteley (South),10,7,3,133,44*,33.25,144.56,0,0,1,
WCF Smeed (Birm),6,6,1,166,65*,33.2,172.91,0,1,5,
C Munro (Manc),7,7,2,165,45  ,33,136.36,0,0,1,
MM Ali (Birm),7,7,0,225,59  ,32.14,148.02,0,1,3,
DJ Vilas (North),5,5,2,95,36  ,31.66,126.66,0,0,3,
SR Patel (Trent),9,8,2,179,46*,29.83,157.01,0,0,2,
BM Duckett (Welsh),8,8,0,232,65  ,29,137.27,0,2,4,
IA Cockbain (Welsh),5,5,2,87,32  ,29,133.84,0,0,4,
AL Davies (South),10,9,2,202,50  ,28.85,132.89,0,1,7,
JM Vince (South),10,9,1,229,60  ,28.62,129.37,0,2,2,
MAH Hammond (Birm),9,7,3,114,44*,28.5,150,0,0,2,
TK Curran (Oval),8,5,2,84,34*,28,137.7,0,0,3,
T Kohler-Cadmore (North),4,4,0,111,71  ,27.75,150,0,1,3,
CJ Jordan (South),10,5,3,54,17*,27,138.46,0,0,3,
AJ Blake (Oval),3,3,1,54,44*,27,138.46,0,0,2,
DJ Malan (Trent),9,9,1,214,62*,26.75,121.59,0,3,3,
PR Stirling (South),6,5,0,132,61  ,26.4,167.08,0,1,1,
DJM Short (Trent),9,9,3,156,69*,26,120.93,0,2,3,
EJG Morgan (Lond),8,7,1,151,41  ,25.16,136.03,0,0,1,
JP Inglis (Lond),8,7,0,173,72  ,24.71,136.22,0,2,3,
JL du Plooy (Welsh),6,6,0,147,43  ,24.5,141.34,0,0,1,
DP Conway (South),4,4,0,97,34  ,24.25,112.79,0,0,0,
SW Billings (Oval),8,7,1,143,49  ,23.83,131.19,0,0,2,
CR Brathwaite (Manc),7,6,2,94,37  ,23.5,140.29,0,0,5,
AM Rossington (Lond),6,6,0,140,46  ,23.33,152.17,0,0,4,2
AD Hales (Trent),9,9,1,185,40*,23.12,132.14,0,0,3,
DJ Willey (North),7,7,1,132,81*,22,155.29,0,1,1,
CA Lynn (North),7,7,0,150,48  ,21.42,118.11,0,0,0,
L Gregory (Trent),9,7,2,107,28*,21.4,128.91,0,0,3,
JJ Cobb (Welsh),4,3,1,42,28*,21,144.82,0,0,4,
BA Carse (North),6,4,3,21,11*,21,131.25,0,0,1,
WG Jacks (Oval),8,7,0,146,44  ,20.85,175.9,0,0,0,
FH Allen (Birm),8,8,0,165,43  ,20.62,150,0,0,4,
CA Ingram (Oval),8,7,1,120,81*,20,130.43,0,1,4,
JC Buttler (Manc),2,2,0,38,30  ,19,92.68,0,0,2,
SJ Mullaney (Trent),6,5,0,92,49  ,18.4,143.75,0,0,3,
JB Cracknell (Lond),3,3,0,55,35  ,18.33,134.14,0,0,2,
JM Clarke (Manc),7,7,0,127,58  ,18.14,151.19,0,1,2,
JA Thompson (North),3,2,0,36,27  ,18,163.63,0,0,0,
CN Ackermann (Manc),5,5,0,88,53  ,17.6,117.33,0,1,0,
PD Salt (Manc),7,7,0,122,30  ,17.42,141.86,0,0,4,
GG White (Welsh),3,2,1,17,14  ,17,141.66,0,0,1,
MJJ Critchley (Welsh),5,3,1,33,30*,16.5,103.12,0,0,2,
BAC Howell (Birm),9,6,2,62,20*,15.5,134.78,0,0,4,
TA Lammonby (Manc),7,5,1,60,27  ,15,113.2,0,0,2,
TH David (South),2,1,0,15,15  ,15,250,0,0,2,
